2023-04-27 21:34:04,887 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:34:04.886519
2023-04-27 21:34:04,891 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:34:04,915 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213404-e3e9pnsc/run-e3e9pnsc.wandb
2023-04-27 21:34:04,916 DEBUG   SenderThread:7486 [sender.py:send():375] send: header
2023-04-27 21:34:04,938 DEBUG   SenderThread:7486 [sender.py:send():375] send: run
2023-04-27 21:34:05,630 INFO    SenderThread:7486 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213404-e3e9pnsc/files
2023-04-27 21:34:05,630 INFO    SenderThread:7486 [sender.py:_start_run_threads():1124] run started: e3e9pnsc with start time 1682595244.894304
2023-04-27 21:34:06,146 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:06,160 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:08,149 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:09,962 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 21:34:10,651 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:11,157 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:11,175 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:13,161 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:14,980 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 21:34:15,667 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:16,175 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:16,212 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:18,178 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:19,999 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 21:34:20,688 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:21,190 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:21,221 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:23,199 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:24,980 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:34:24.980052
2023-04-27 21:34:24,984 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:34:25,015 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213424-m4zg7eon/run-m4zg7eon.wandb
2023-04-27 21:34:25,016 DEBUG   SenderThread:7486 [sender.py:send():375] send: header
2023-04-27 21:34:25,045 DEBUG   SenderThread:7486 [sender.py:send():375] send: run
2023-04-27 21:34:25,629 INFO    SenderThread:7486 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213424-m4zg7eon/files
2023-04-27 21:34:25,629 INFO    SenderThread:7486 [sender.py:_start_run_threads():1124] run started: m4zg7eon with start time 1682595264.9873
2023-04-27 21:34:25,693 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:26,206 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:26,233 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:28,214 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:30,642 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:30,706 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:31,223 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:31,245 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:33,228 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:35,657 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:35,724 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:35,747 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:34:35.747073
2023-04-27 21:34:35,748 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:34:35,769 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213435-snk7mqbu/run-snk7mqbu.wandb
2023-04-27 21:34:35,769 DEBUG   SenderThread:7486 [sender.py:send():375] send: header
2023-04-27 21:34:35,789 DEBUG   SenderThread:7486 [sender.py:send():375] send: run
2023-04-27 21:34:36,238 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:36,258 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:36,470 INFO    SenderThread:7486 [dir_watcher.py:__init__():219] watching files in: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213435-snk7mqbu/files
2023-04-27 21:34:36,470 INFO    SenderThread:7486 [sender.py:_start_run_threads():1124] run started: snk7mqbu with start time 1682595275.750733
2023-04-27 21:34:38,242 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:40,665 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:40,733 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,250 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,271 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,479 INFO    StreamThr :7486 [internal.py:wandb_internal():86] W&B internal server running at pid: 7486, started at: 2023-04-27 21:34:41.479431
2023-04-27 21:34:41,481 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status
2023-04-27 21:34:41,488 DEBUG   HandlerThread:7486 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 21:34:41,498 INFO    WriterThread:7486 [datastore.py:open_for_write():85] open: /Users/Uni Course/IML/IML_A3/wandb/run-20230427_213441-juhz6s78/run-juhz6s78.wandb
